Datum,PM10,kraj
2014-09-27,23.4,Celje
2014-09-28,13.5,Celje
2014-09-29,22.7,Celje
2014-09-30,34,Celje
2014-10-01,29.4,Celje
2014-10-02,21,Celje
2014-10-03,23.7,Celje
2014-10-04,33.9,Celje
2014-10-05,41.1,Celje
2014-10-06,54.1,Celje
2014-10-07,45.8,Celje
2014-10-08,21.8,Celje
2014-10-09,21.4,Celje
2014-10-10,28.6,Celje
2014-10-11,28.2,Celje
2014-10-12,27.1,Celje
2014-10-13,34.6,Celje
2014-10-14,19.2,Celje
2014-10-15,24.1,Celje
2014-10-16,21.9,Celje
2014-10-17,24.1,Celje
2014-10-18,16.6,Celje
2014-10-19,18.5,Celje
2014-10-20,20.2,Celje
2014-10-21,32.7,Celje
2014-10-22,10.1,Celje
2014-10-23,12.5,Celje
2014-10-24,17,Celje
2014-10-25,29.2,Celje
2014-10-26,32.4,Celje
2014-10-27,44.5,Celje
2014-10-28,46.4,Celje
2014-10-29,47.9,Celje
2014-10-30,61.6,Celje
2014-10-31,46.9,Celje
2014-11-01,41,Celje
2014-11-02,37.8,Celje
2014-11-03,32.9,Celje
2014-11-04,21,Celje
2014-11-05,26,Celje
2014-11-06,26.1,Celje
2014-11-07,25.4,Celje
2014-11-08,18,Celje
2014-11-09,18.9,Celje
2014-11-10,32.1,Celje
2014-11-11,51,Celje
2014-11-12,51.9,Celje
2014-11-13,32.6,Celje
2014-11-14,52,Celje
2014-11-15,35.3,Celje
2014-11-16,25.8,Celje
2014-11-17,31.8,Celje
2014-11-18,16.5,Celje
2014-11-19,32,Celje
2014-11-20,NA,Celje
2014-11-21,NA,Celje
2014-11-22,NA,Celje
2014-11-23,NA,Celje
2014-11-24,NA,Celje
2014-11-25,NA,Celje
2014-11-26,47.6,Celje
2014-11-27,63.1,Celje
2014-11-28,79.6,Celje
2014-11-29,40.5,Celje
2014-11-30,25.5,Celje
2014-12-01,12.6,Celje
2014-12-02,17.3,Celje
2014-12-03,17.4,Celje
2014-12-04,26.3,Celje
2014-12-05,37.9,Celje
2014-12-06,22.9,Celje
2014-12-07,17.3,Celje
2014-12-08,44.6,Celje
2014-12-09,37.1,Celje
2014-12-10,67,Celje
2014-12-11,84.2,Celje
2014-12-12,79.2,Celje
2014-12-13,13.6,Celje
2014-12-14,10.5,Celje
2014-12-15,26.3,Celje
2014-12-16,74.1,Celje
2014-12-17,41.7,Celje
2014-12-18,35.7,Celje
2014-12-19,24,Celje
2014-12-20,40.3,Celje
2014-12-21,37.1,Celje
2014-12-22,41.5,Celje
2014-12-23,23.8,Celje
2014-12-24,17.7,Celje
2014-12-25,32,Celje
2014-12-26,20.4,Celje
2014-12-27,50.5,Celje
2014-12-28,12.2,Celje
2014-12-29,46.9,Celje
2014-12-30,80.1,Celje
2014-12-31,51.9,Celje
2014-01-01,35.2,Koper
2014-01-02,31.5,Koper
2014-01-03,26.3,Koper
2014-01-04,18.2,Koper
2014-01-05,16.2,Koper
2014-01-06,23.2,Koper
2014-01-07,25.4,Koper
2014-01-08,42.4,Koper
2014-01-09,40.7,Koper
2014-01-10,59.5,Koper
2014-01-11,46.3,Koper
2014-01-12,54.5,Koper
2014-01-13,34.3,Koper
2014-01-14,20.9,Koper
2014-01-15,22,Koper
2014-01-16,22.8,Koper
2014-01-17,14.1,Koper
2014-01-18,15.6,Koper
2014-01-19,43.7,Koper
2014-01-20,18.3,Koper
2014-01-21,16.5,Koper
2014-01-22,23.9,Koper
2014-01-23,29.6,Koper
2014-01-24,6.6,Koper
2014-01-25,14.6,Koper
2014-01-26,30.6,Koper
2014-01-27,20.5,Koper
2014-01-28,10.1,Koper
2014-01-29,33.6,Koper
2014-01-30,21.9,Koper
2014-01-31,20.8,Koper
2014-02-01,21.3,Koper
2014-02-02,9.4,Koper
2014-02-03,23.6,Koper
2014-02-04,23.9,Koper
2014-02-05,12.7,Koper
2014-02-06,18,Koper
2014-02-07,15.5,Koper
2014-02-08,16.2,Koper
2014-02-09,11.1,Koper
2014-02-10,15.6,Koper
2014-02-11,14.8,Koper
2014-02-12,14.9,Koper
2014-02-13,14.3,Koper
2014-02-14,15.8,Koper
2014-02-15,24.9,Koper
